Employee Id,Corporate Source,Branch Source,Funds Paid,Status
EMP-df7a90a7-8aa3-4e17-94c6-a060f584cfec,CORP-7dc67e67-e879-4da0-8fee-7d14ba4752b8,BRC-b19e8df1-77b7-40f4-a290-a909eb741e5b,2.65,processing
EMP-49c292fa-8966-43a4-a76b-0a80ff635d6a,CORP-a9804e0b-e8b0-4837-8bbe-aabafcd483dd,BRC-94dddc86-cf93-4d41-b082-363d23a21e00,10.83,processing
EMP-48bc8d9c-d4cb-4d19-b590-46b3bc234e6f,CORP-55988522-7698-46ba-bddd-4bc2956a6bb4,BRC-52b071ba-5b35-4743-b219-40230551cd8c,6.93,processing
EMP-a37b2c24-b9b0-483b-b526-cc8439bbf857,CORP-55988522-7698-46ba-bddd-4bc2956a6bb4,BRC-7a16eeb4-c285-479c-b905-b6f7819d2cc0,10.31,processing
EMP-6e11c90d-c2f5-4b64-bf57-a73208ff10b7,CORP-a9804e0b-e8b0-4837-8bbe-aabafcd483dd,BRC-0b4fa181-996b-44e2-a392-3b6b51a8fac4,10.31,processing
EMP-7f834ce9-18e0-458e-86f6-6b5ab9caabea,CORP-7dc67e67-e879-4da0-8fee-7d14ba4752b8,BRC-0b4fa181-996b-44e2-a392-3b6b51a8fac4,8.84,processing
EMP-cdd5bd40-c833-470a-a42c-b6cb1ab46c60,CORP-e4025d0e-0491-49ef-8284-2738c2d0a0cf,BRC-c18ce67b-a514-41d7-9626-9fb6c93eb385,8.72,processing
EMP-b418f6a9-1449-40d6-851c-52099fdbfc2d,CORP-a9804e0b-e8b0-4837-8bbe-aabafcd483dd,BRC-55ed5842-adff-441c-b242-b657e7d69a5a,3.25,processing
EMP-220cd2a7-4f88-40cf-9c03-41899d15e6ba,CORP-7dc67e67-e879-4da0-8fee-7d14ba4752b8,BRC-577934f5-f781-4e1f-88b2-48b1458c47e0,1.74,processing
EMP-26cb01fe-124f-4fd7-b4cf-df4c43d05f3f,CORP-55988522-7698-46ba-bddd-4bc2956a6bb4,BRC-ce86aad4-f030-47b3-b6f2-858c382437d8,6.94,processing
EMP-4c3be7c3-e11c-4ce9-af50-e6a3dd36923c,CORP-7dc67e67-e879-4da0-8fee-7d14ba4752b8,BRC-5a6fd430-c093-4ed9-ad8b-3ad2d25f4f8e,8.52,processing
EMP-ceb4f75c-8d72-443f-af3a-aef71b5234e6,CORP-7dc67e67-e879-4da0-8fee-7d14ba4752b8,BRC-b19e8df1-77b7-40f4-a290-a909eb741e5b,3.11,processing
EMP-ec0c4719-a6f8-4bb2-b868-ed7c2a6fd99a,CORP-a9804e0b-e8b0-4837-8bbe-aabafcd483dd,BRC-770a7c74-286c-4592-8144-4c5e7f69eaa0,1.03,processing
EMP-3e7cfb63-26fa-40f6-9873-a37db90eb0a5,CORP-1f5ba4e7-926a-47c5-9031-b07ad1dd6261,BRC-29bf2018-115d-41fa-9cda-ba9698eb6abf,10.24,processing
EMP-60daa5ad-21eb-48e4-aea5-195467879c11,CORP-a9804e0b-e8b0-4837-8bbe-aabafcd483dd,BRC-2d047a52-d2d0-4af0-88d4-f60cad1e613c,5.36,processing
EMP-5edce7f7-48b8-4d42-a54a-7661191117a5,CORP-1f5ba4e7-926a-47c5-9031-b07ad1dd6261,BRC-59f3ee96-0a6f-4fa1-aec9-803c3d2cd6ce,3.02,processing
EMP-f8707310-ff16-4e74-862f-a790d5c8339e,CORP-7dc67e67-e879-4da0-8fee-7d14ba4752b8,BRC-3698d771-ebf5-47d7-8a55-b7910a5e61d9,6.69,processing
EMP-15edcce6-8182-4e6f-8039-9465a026b90f,CORP-1f5ba4e7-926a-47c5-9031-b07ad1dd6261,BRC-5713fc98-f3fe-4a69-b9f2-f29ab079b917,8.95,processing
EMP-b9631665-d885-4439-b2e9-0331ad527593,CORP-1f5ba4e7-926a-47c5-9031-b07ad1dd6261,BRC-71600c03-f7fd-4c35-a963-1fe56c820825,4.08,processing
EMP-234f897f-c92c-4c30-9bb4-3563b066c177,CORP-e4025d0e-0491-49ef-8284-2738c2d0a0cf,BRC-2d047a52-d2d0-4af0-88d4-f60cad1e613c,4.01,processing
EMP-932be001-d42f-4c7d-87cc-fb7a87f86449,CORP-e4025d0e-0491-49ef-8284-2738c2d0a0cf,BRC-52b071ba-5b35-4743-b219-40230551cd8c,9.09,processing
EMP-c89b0bbc-8e24-4299-97f5-e2d7b6b1c471,CORP-7dc67e67-e879-4da0-8fee-7d14ba4752b8,BRC-022992c6-0e0c-4358-bf5f-d6bac61cbcab,7.20,processing
EMP-680061bc-8e10-48b9-8358-94e0a40b7160,CORP-e4025d0e-0491-49ef-8284-2738c2d0a0cf,BRC-770a7c74-286c-4592-8144-4c5e7f69eaa0,4.86,processing
